2022-12-29 11:29:11 | INFO     | DF | Running on torch 1.13.0+cu117
2022-12-29 11:29:11 | INFO     | DF | Running on host desktop-manjaro
2022-12-29 11:29:11 | INFO     | DF | Loading model settings of output
2022-12-29 11:29:11 | INFO     | DF | Running on device cuda:0
2022-12-29 11:29:11 | INFO     | DF | Initializing model `deepfilternet`
2022-12-29 11:29:13 | INFO     | DF | Initializing dataloader with data directory /home/peterrc/Documents/train/
2022-12-29 11:29:13 | INFO     | DF | Loading HDF5 key cache from /home/peterrc/Documents/train/.cache_dataset.cfg
2022-12-29 11:29:13 | WARNING  | DF | Could not find cached keys for training_20000_samples.hdf5
2022-12-29 11:29:13 | WARNING  | DF | Could not find cached keys for training_20000_samples.hdf5
2022-12-29 11:29:13 | WARNING  | DF | Could not find cached keys for training_20000_samples.hdf5
2022-12-29 11:29:13 | WARNING  | DF | Reverb augmentation enabled but no RIRs provided!
2022-12-29 11:29:13 | WARNING  | DF | Reverb augmentation enabled but no RIRs provided!
2022-12-29 11:29:13 | WARNING  | DF | Reverb augmentation enabled but no RIRs provided!
2022-12-29 11:45:43 | INFO     | DF | [0] [14900/19999] | loss:  0.01069 | lr:  1.993E-04
2022-12-29 11:45:49 | INFO     | DF | [0] [15000/19999] | loss:  0.01090 | lr:  2.000E-04
2022-12-29 11:45:56 | INFO     | DF | [0] [15100/19999] | loss:  0.01326 | lr:  2.007E-04
2022-12-29 11:46:02 | INFO     | DF | [0] [15200/19999] | loss:  0.00888 | lr:  2.013E-04
2022-12-29 11:46:09 | INFO     | DF | [0] [15300/19999] | loss:  0.01168 | lr:  2.020E-04
2022-12-29 11:46:16 | INFO     | DF | [0] [15400/19999] | loss:  0.01464 | lr:  2.027E-04
2022-12-29 11:46:22 | INFO     | DF | [0] [15500/19999] | loss:  0.01535 | lr:  2.033E-04
2022-12-29 11:46:29 | INFO     | DF | [0] [15600/19999] | loss:  0.00950 | lr:  2.040E-04
2022-12-29 11:46:35 | INFO     | DF | [0] [15700/19999] | loss:  0.00917 | lr:  2.047E-04
2022-12-29 11:46:42 | INFO     | DF | [0] [15800/19999] | loss:  0.00952 | lr:  2.053E-04
2022-12-29 11:46:49 | INFO     | DF | [0] [15900/19999] | loss:  0.01076 | lr:  2.060E-04
2022-12-29 11:46:56 | INFO     | DF | [0] [16000/19999] | loss:  0.01091 | lr:  2.067E-04
2022-12-29 11:47:02 | INFO     | DF | [0] [16100/19999] | loss:  0.01430 | lr:  2.073E-04
2022-12-29 11:47:09 | INFO     | DF | [0] [16200/19999] | loss:  0.01478 | lr:  2.080E-04
2022-12-29 11:47:16 | INFO     | DF | [0] [16300/19999] | loss:  0.00882 | lr:  2.087E-04
2022-12-29 11:47:22 | INFO     | DF | [0] [16400/19999] | loss:  0.01038 | lr:  2.093E-04
2022-12-29 11:47:29 | INFO     | DF | [0] [16500/19999] | loss:  0.00958 | lr:  2.100E-04
2022-12-29 11:47:36 | INFO     | DF | [0] [16600/19999] | loss:  0.01123 | lr:  2.107E-04
2022-12-29 11:47:42 | INFO     | DF | [0] [16700/19999] | loss:  0.00936 | lr:  2.113E-04
2022-12-29 11:47:49 | INFO     | DF | [0] [16800/19999] | loss:  0.00910 | lr:  2.120E-04
2022-12-29 11:47:56 | INFO     | DF | [0] [16900/19999] | loss:  0.00863 | lr:  2.127E-04
2022-12-29 11:48:03 | INFO     | DF | [0] [17000/19999] | loss:  0.00896 | lr:  2.133E-04
2022-12-29 11:48:09 | INFO     | DF | [0] [17100/19999] | loss:  0.00983 | lr:  2.140E-04
2022-12-29 11:48:16 | INFO     | DF | [0] [17200/19999] | loss:  0.01422 | lr:  2.147E-04
2022-12-29 11:48:22 | INFO     | DF | [0] [17300/19999] | loss:  0.01202 | lr:  2.153E-04
2022-12-29 11:48:29 | INFO     | DF | [0] [17400/19999] | loss:  0.00931 | lr:  2.160E-04
2022-12-29 11:48:36 | INFO     | DF | [0] [17500/19999] | loss:  0.00880 | lr:  2.167E-04
2022-12-29 11:48:42 | INFO     | DF | [0] [17600/19999] | loss:  0.00963 | lr:  2.173E-04
2022-12-29 11:48:49 | INFO     | DF | [0] [17700/19999] | loss:  0.01097 | lr:  2.180E-04
2022-12-29 11:48:55 | INFO     | DF | [0] [17800/19999] | loss:  0.01322 | lr:  2.187E-04
2022-12-29 11:49:02 | INFO     | DF | [0] [17900/19999] | loss:  0.01044 | lr:  2.193E-04
2022-12-29 11:49:08 | INFO     | DF | [0] [18000/19999] | loss:  0.01241 | lr:  2.200E-04
2022-12-29 11:49:15 | INFO     | DF | [0] [18100/19999] | loss:  0.00884 | lr:  2.207E-04
2022-12-29 11:49:21 | INFO     | DF | [0] [18200/19999] | loss:  0.00972 | lr:  2.213E-04
2022-12-29 11:49:27 | INFO     | DF | [0] [18300/19999] | loss:  0.00911 | lr:  2.220E-04
